MCGS_Time,MCGS_TIMEMS,F1Time,F1_T,F1_pH,F1_DO,F1_ZS,F1_F,F1_P,F1_PHJ,F1_PHS,F1_AF,F1_FD,F1_FD2,F1_TP,F1_GZ,F1_JC,F1_ORP,F1_PO2,F1_PC2,F1_OUR,F1_CER,F1_RQ,F1_KLa,F1_FD3,F1_FD4
2023-1-19 4:10:23,197,0.000277778,30.0321,6.85344,95.6074,298.719,2,0,1.93817,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:11:23,239,0.0169444,30.0321,6.84886,95.6074,298.75,2,0,1.972,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:12:23,804,0.0338889,30.0145,6.85344,95.6074,298.719,2,0,1.97684,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:13:23,82,0.0502778,29.8968,6.85344,95.6604,298.719,2,0,1.97684,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:14:23,397,0.0669444,29.9733,6.85344,95.668,298.719,2,0,1.97684,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:15:23,661,0.0838889,29.9733,6.85344,95.6528,298.719,2,0,1.97684,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:16:23,943,0.100556,29.938,6.85344,95.6604,298.719,2,0,2.02034,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:17:23,291,0.116944,29.938,6.85344,95.6377,298.719,2,0,2.02034,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:18:23,601,0.133889,29.9085,6.85344,95.6225,298.719,2,0,2.02034,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:19:23,884,0.150556,29.885,6.85344,95.6074,298.75,2,0,2.02034,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:20:23,192,0.166944,29.8791,6.85344,95.615,298.719,2,0,2.02034,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:21:23,0,0.183611,29.8673,6.85573,95.6074,298.75,2,0,2.02034,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:22:23,804,0.200556,29.8144,6.85344,95.615,298.719,2,0,2.02034,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:23:23,96,0.216944,29.8144,6.84886,95.668,298.719,2,0,2.03967,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:24:23,411,0.233611,29.8497,6.85744,95.668,298.719,2,0,2.03967,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:25:23,715,0.250556,29.8673,6.85744,95.6983,298.719,2,0,2.03967,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:26:23,492,0.267222,29.9085,6.85344,95.668,298.719,2,0,2.03967,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:27:23,299,0.283611,29.9556,6.85344,95.7361,298.719,2,0,2.03967,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:28:23,588,0.300556,30.0439,6.85344,95.7816,298.719,2,0,2.08317,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:29:23,871,0.317222,30.1263,6.85344,95.7892,298.719,2,0,2.08317,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:30:23,192,0.333611,30.0851,6.85344,95.8497,298.75,2,0,2.08317,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:31:23,516,0.350278,30.1322,6.85344,95.8497,298.719,2,0,2.12183,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:32:23,587,0.367222,30.1087,6.85344,95.8497,298.719,2,0,2.12183,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:33:23,130,0.383611,29.9439,6.85344,95.8194,298.75,2,0,2.12183,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:34:23,414,0.400278,30.0969,6.85344,95.7892,298.75,2,0,2.12183,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:35:23,722,0.417222,30.0969,6.85344,95.7437,298.719,2,0,2.12183,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-1-19 4:36:23,11,0.433611,30.0557,6.85344,95.774,298.719,2,0,2.12183,0.0486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
